Year,avg_nas_delay
2003,29.686276314267346
2007,30.625925917941924
2006,18.119312329937703
2004,18.24570061769958
2009,37.63093330628511
2005,16.63868805373129
2010,33.87351363404217
2008,30.16552562594132
