Year,avg_carrier_delay_percentage
2003,24.557549755575373
2007,19.850007017971283
2006,30.453296261292596
2004,43.64459443230066
2009,28.33058554239575
2005,28.01977637202288
2010,21.89310246015957
2008,28.88346981456985
