Year,avg_late_aircraft_delay
2003,37.924225963706164
2007,45.252432744291134
2006,46.838787224801735
2004,31.662176952308105
2009,33.585314999939314
2005,49.490838422749654
2010,41.331052610239794
2008,37.22555555408794
